id_i,id_j,distance,race_i,race_j,pair_type,inconsistent_baseline,inconsistent_eo,eo_introduced,eo_resolved,threshold_distance_i,threshold_distance_j
4334,6523,0.0,1,0,cross_race,0,0,0,0,0.42908800647165835,0.25440314437516454
1212,4713,0.0,0,1,cross_race,0,1,1,0,0.0669411282684359,0.106611410760028
1212,6546,0.0,0,1,cross_race,0,1,1,0,0.0669411282684359,0.106611410760028
1212,2864,0.0,0,1,cross_race,0,1,1,0,0.0669411282684359,0.106611410760028
1212,1979,0.0,0,1,cross_race,0,1,1,0,0.0669411282684359,0.106611410760028
2540,6328,0.0,1,0,cross_race,0,0,0,0,0.32976768009345847,0.15508281799696466
2540,4903,0.08524053745639293,1,0,cross_race,0,0,0,0,0.32976768009345847,0.15508281799696466
5008,5786,0.08524053745639301,1,0,cross_race,0,0,0,0,0.39409540360783857,0.21465346598145107
4343,6068,0.0,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
4343,7053,0.0,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
2394,6068,0.0,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
2394,7053,0.0,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
1668,6850,0.0,0,1,cross_race,0,1,1,0,0.0,0.1735525390284639
1668,5374,0.0,0,1,cross_race,0,1,1,0,0.0,0.1735525390284639
1668,2799,0.0,0,1,cross_race,0,1,1,0,0.0,0.1735525390284639
1668,3103,0.0,0,1,cross_race,0,1,1,0,0.0,0.1735525390284639
5884,6765,0.5966837621947514,0,1,cross_race,0,0,0,0,0.4691089035952152,0.5669043619376849
1137,6195,0.08524053745639304,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15115424656839327
1137,3572,0.08524053745639304,1,0,cross_race,0,0,0,0,0.3258391086648871,0.15115424656839327
1620,2155,0.4102192546734872,1,0,cross_race,0,0,0,0,0.029815472483899597,0.1231643024083432
1175,5725,0.08524053745639304,1,0,cross_race,0,0,0,0,0.3662505664032267,0.20607720817801145
5676,6159,0.08524053745639304,1,0,cross_race,0,0,0,0,0.26781982883768984,0.09313496674119603
459,5364,0.08524053745639304,0,1,cross_race,0,0,0,0,0.07221683015141761,0.2357787547029555
459,3317,0.08524053745639304,0,1,cross_race,0,0,0,0,0.07221683015141761,0.2357787547029555
459,3192,0.08524053745639304,0,1,cross_race,0,0,0,0,0.07221683015141761,0.2357787547029555
3002,4935,0.08524053745639301,0,1,cross_race,0,0,0,0,0.24730218728964432,0.4126888037721031
2369,6971,0.255721612369179,1,0,cross_race,0,0,0,0,0.3515426626231579,0.21863464845683944
2369,3076,0.4442337603202737,1,0,cross_race,0,0,0,0,0.3515426626231579,0.25440314437516454
2369,3898,0.4442337603202737,1,0,cross_race,0,0,0,0,0.3515426626231579,0.22774753141919907
65,2663,0.08524053745639304,1,0,cross_race,0,1,1,0,0.05038823662012071,0.1231643024083432
65,3111,0.08524053745639304,1,0,cross_race,0,1,1,0,0.05038823662012071,0.11272802537246862
65,6723,0.08524053745639304,1,0,cross_race,0,1,1,0,0.05038823662012071,0.1231643024083432
4212,6519,0.0,1,0,cross_race,0,0,0,0,0.4871296238950115,0.3124447617985177
4212,4617,0.08524053745639293,1,0,cross_race,0,0,0,0,0.4871296238950115,0.3124447617985177
4212,5842,0.17048107491278586,1,0,cross_race,0,0,0,0,0.4871296238950115,0.3124447617985177
2271,4045,1.9361015812840199,1,0,cross_race,1,0,0,1,0.2237152626394635,0.0
2288,2649,0.6385087547867924,1,0,cross_race,0,0,0,0,0.1406124784733933,0.30858410417080095
1260,3594,0.0,1,0,cross_race,0,1,1,0,0.15495926685721018,0.018593272171253727
2264,3147,0.8884675206405475,1,0,cross_race,0,0,0,0,0.056468844104043625,0.09231877798483723
1699,5672,0.22211688016013686,0,1,cross_race,1,0,0,1,0.10087907448530375,0.1820299739279172
1699,4355,0.2667091226966877,0,1,cross_race,0,0,0,0,0.10087907448530375,0.34290835182108664
1699,4283,0.26670912269668773,0,1,cross_race,1,0,0,1,0.10087907448530375,0.17577476125068614
1699,3191,0.3278162629567217,0,1,cross_race,0,0,0,0,0.10087907448530375,0.27556393658179756
631,2940,0.0,0,1,cross_race,0,0,0,0,0.0010898991541923309,0.17577476125068614
631,2029,0.0,0,1,cross_race,0,0,0,0,0.0010898991541923309,0.17577476125068614
631,1768,0.0,0,1,cross_race,0,0,0,0,0.0010898991541923309,0.17577476125068614
631,1648,0.08524053745639304,0,1,cross_race,0,0,0,0,0.0010898991541923309,0.1735525390284639
1681,7109,0.08524053745639304,0,1,cross_race,0,0,0,0,0.15115424656839327,0.27556393658179756
6184,7120,0.0,1,0,cross_race,0,0,0,0,0.4871296238950115,0.3124447617985177
1473,5705,0.22211688016013686,1,0,cross_race,0,1,1,0,0.12960416686278542,0.0
2273,2848,0.0,0,1,cross_race,0,0,0,0,0.22774753141919907,0.4024323935156929
4272,4405,0.0,1,0,cross_race,0,0,0,0,0.3043944419640271,0.1297095798675333
1787,3789,0.0,0,1,cross_race,0,0,0,0,0.1768578005266641,0.3515426626231579
1787,6343,0.0,0,1,cross_race,0,0,0,0,0.1768578005266641,0.3515426626231579
2864,6008,0.0,1,0,cross_race,0,1,1,0,0.106611410760028,0.0669411282684359
5233,6194,8.153705453260704,0,1,cross_race,0,0,0,0,0.28216575296317326,0.136474732498438
5233,6330,8.447391136246559,0,1,cross_race,0,0,0,0,0.28216575296317326,0.048338762803230684
3870,7088,0.39790092590982196,0,1,cross_race,0,1,1,0,0.05267716957372115,0.15420870278807608
2200,5386,0.08524053745639304,1,0,cross_race,0,0,0,0,0.4024323935156929,0.21941054151134476
2200,5135,0.08524053745639304,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
2200,2276,0.08524053745639304,1,0,cross_race,0,0,0,0,0.4024323935156929,0.21941054151134476
2200,4672,0.08524053745639304,1,0,cross_race,0,0,0,0,0.4024323935156929,0.22774753141919907
2822,5493,0.26670912269668773,1,0,cross_race,0,0,0,0,0.35260641774628515,0.19382013264811776
2822,6182,0.3278162629567216,1,0,cross_race,0,0,0,0,0.35260641774628515,0.16822348972459283
1890,5769,0.0,1,0,cross_race,0,0,0,0,0.17577476125068614,0.0010898991541923309
3629,7129,0.2051096273367436,1,0,cross_race,0,0,0,0,0.2229841419083427,0.09313496674119603
3629,5457,0.2051096273367436,1,0,cross_race,0,0,0,0,0.2229841419083427,0.09313496674119603
6587,6978,0.0,0,1,cross_race,0,0,0,0,0.0490304005429697,0.2237152626394635
6587,6855,0.0,0,1,cross_race,0,0,0,0,0.0490304005429697,0.2237152626394635
3158,6235,0.22211688016013675,1,0,cross_race,0,0,0,0,0.5088403371658271,0.3341554750693333
3158,5129,0.22211688016013684,1,0,cross_race,0,0,0,0,0.5088403371658271,0.35922680083385544
3158,3365,0.2667091226966877,1,0,cross_race,0,0,0,0,0.5088403371658271,0.3124447617985177
3509,6263,0.08524053745639304,1,0,cross_race,0,0,0,0,0.48615401413891396,0.2956551985540481
3509,5262,0.17048107491278597,1,0,cross_race,0,0,0,0,0.48615401413891396,0.31146915204242015
