id_i,id_j,distance,race_i,race_j,pair_type,inconsistent_baseline,inconsistent_eo,eo_introduced,eo_resolved,threshold_distance_i,threshold_distance_j
2150,5142,0.009734483803928273,1,1,same_race,0,0,0,0,0.05038823662012071,0.06954798235045645
2283,4623,0.0011152425042271208,1,1,same_race,0,1,1,0,0.0013622818220518917,0.0
2283,3637,0.007235511843480369,1,1,same_race,0,0,0,0,0.0013622818220518917,0.05038823662012071
2283,3328,0.007235511843480369,1,1,same_race,0,0,0,0,0.0013622818220518917,0.05038823662012071
2002,4268,0.0031058830576744523,0,0,same_race,0,0,0,0,0.15508281799696466,0.16989763281177944
2002,2492,0.0031058830576744523,0,0,same_race,0,0,0,0,0.15508281799696466,0.16989763281177944
2002,5235,0.011748413879671848,0,1,cross_race,0,0,0,0,0.15508281799696466,0.3893383280779449
6022,6319,0.005953879796770423,1,0,cross_race,0,0,0,0,0.42908800647165835,0.3023474685958727
1805,2496,0.004002380015791673,1,1,same_race,0,0,0,0,0.07421575768429045,0.056468844104043625
1805,6810,0.006224142812574773,1,1,same_race,0,0,0,0,0.07421575768429045,0.09848269398358267
347,6709,2.220446049250313e-16,1,1,same_race,0,0,0,0,0.05038823662012071,0.05038823662012071
347,7116,0.0005382530739403979,1,1,same_race,0,0,0,0,0.05038823662012071,0.0013622818220518917
347,3524,0.002084100697216762,1,1,same_race,0,1,1,0,0.05038823662012071,0.0
347,6254,0.002357488823391596,1,1,same_race,0,0,0,0,0.05038823662012071,0.05620230044566321
347,2208,0.0036976309895092596,1,1,same_race,0,0,0,0,0.05038823662012071,0.0734262376529099
3524,4511,0.00047119053451594173,1,1,same_race,0,0,0,0,0.0,0.017819706498951815
3524,7143,0.00047119053451594173,1,1,same_race,0,0,0,0,0.0,0.017819706498951815
3524,7116,0.000504344586611194,1,1,same_race,0,1,1,0,0.0,0.0013622818220518917
3524,6709,0.002084100697216762,1,1,same_race,0,1,1,0,0.0,0.05038823662012071
4778,5744,0.003770032352438113,1,0,cross_race,0,0,0,0,0.17577476125068614,0.0010898991541923309
1879,1912,2.220446049250313e-16,1,1,same_race,0,0,0,0,0.048338762803230684,0.048338762803230684
1879,6742,0.0016023989362472513,1,1,same_race,0,0,0,0,0.048338762803230684,0.048338762803230684
1879,5962,0.00514371512551326,1,1,same_race,0,0,0,0,0.048338762803230684,0.048338762803230684
1879,5401,0.006867959222135345,1,1,same_race,0,0,0,0,0.048338762803230684,0.037426820043725995
1879,6634,0.007888000664598382,1,1,same_race,0,0,0,0,0.048338762803230684,0.056468844104043625
3150,3436,0.004112660752553232,1,1,same_race,0,0,0,0,0.3537970909645428,0.4024323935156929
3150,4691,0.007018185005185029,1,1,same_race,0,0,0,0,0.3537970909645428,0.38076207027450526
2147,2649,0.0007868320024200237,1,0,cross_race,0,0,0,0,0.12501927934943635,0.30858410417080095
2147,5699,0.0021189326437275335,1,1,same_race,0,0,0,0,0.12501927934943635,0.1297356470418275
2147,4804,0.0021189326437275335,1,1,same_race,0,0,0,0,0.12501927934943635,0.1297356470418275
2147,2288,0.002597161884660193,1,1,same_race,0,0,0,0,0.12501927934943635,0.1406124784733933
2147,4998,0.005564367872201048,1,0,cross_race,0,0,0,0,0.12501927934943635,0.37580772438570587
5959,6119,0.0,1,1,same_race,0,0,0,0,0.10747347972554522,0.10747347972554522
4082,5956,0.0014750274380760375,0,0,same_race,0,0,0,0,0.22774753141919907,0.2020218870340827
4082,5787,0.00550228159587729,0,1,cross_race,0,0,0,0,0.22774753141919907,0.4024323935156929
4082,6241,0.005988721246218187,0,1,cross_race,0,0,0,0,0.22774753141919907,0.3735149961514093
4218,4842,0.0014532335821563214,1,1,same_race,0,0,0,0,0.029815472483899597,0.029815472483899597
4218,4897,0.0014532335821563214,1,1,same_race,0,0,0,0,0.029815472483899597,0.029815472483899597
1964,5942,0.0022589973362480142,1,0,cross_race,0,0,0,0,0.3258391086648871,0.16957372577251
1964,5568,0.009273214098207916,1,1,same_race,0,0,0,0,0.3258391086648871,0.34787374780844715
1964,2202,0.01523557328370373,1,1,same_race,0,0,0,0,0.3258391086648871,0.345171220605775
717,3668,0.0027860750706630855,0,0,same_race,0,0,0,0,0.35922680083385544,0.3124447617985177
717,7044,0.0034624350397484127,0,1,cross_race,0,0,0,0,0.35922680083385544,0.5159399042653943
