L,epsilon,status,obj_value,fpr_gap,fnr_gap,lipschitz_violations,inconsistency_rate,accuracy,auc
2.0,0.0,optimal,5.322176370273246,1.4429502037671682e-10,1.9099979375880594e-08,0.0,0.10032232070910556,0.6714015151515151,0.7288921363602006
1.5,0.0,optimal,5.456606672475094,1.4723139374339667e-10,6.756317394440714e-09,0.0,0.09387590652699436,0.6704545454545454,0.7290037181946779
1.0,0.0,optimal,5.894974489545195,1.2962686479767171e-11,8.797185202524815e-11,0.0,0.08058017727639001,0.6685606060606061,0.7275567537604878
0.75,0.0,optimal,6.460689112266478,1.0907719172337238e-10,2.58025822930108e-11,0.0,0.0749395648670427,0.665719696969697,0.7258074385490043
0.5,0.0,optimal,7.8040371914162465,3.9159120390763746e-11,2.2880575212269605e-10,0.0,0.06688154713940371,0.6666666666666666,0.721124600914971
0.35,0.0,optimal,9.51961421320698,1.1855016968098653e-11,1.7818280184656032e-09,0.0,0.06567284448025786,0.6619318181818182,0.717888727715128
0.2,0.0,optimal,12.78021853085749,2.779332319846617e-12,2.7627566900889633e-11,0.0,0.043513295729250605,0.6590909090909091,0.7112262123726257
0.1,0.0,optimal,17.360735466640296,2.4356627825738997e-12,1.2382539438249296e-11,0.0,0.04230459307010476,0.6581439393939394,0.6999978403515907
0.05,0.0,optimal,22.226005217666888,5.6125826208841545e-11,8.419424046834934e-10,0.0,0.031023368251410152,0.6505681818181818,0.6923832800020157
2.0,0.02,optimal,3.723535528700726,0.020000000922183625,0.020000057380923808,0.0,0.07735697018533441,0.6723484848484849,0.7308034252023771
1.5,0.02,optimal,3.7810459756630483,0.020000000520768113,0.020000014349360273,0.0,0.08138597904915391,0.6751893939393939,0.7305154720811452
1.0,0.02,optimal,4.007748700352867,0.020000000199734247,0.020000007629979444,0.0,0.07453666398066076,0.6751893939393939,0.7304038902466679
0.75,0.02,optimal,4.325904752131617,0.02000000033777183,0.019999999133297086,0.0,0.0684931506849315,0.6685606060606061,0.7283990166400911
0.5,0.02,optimal,5.134068855470911,0.020000000097732507,0.020000000817988917,0.0,0.06728444802578566,0.6685606060606061,0.7252711258607099
0.35,0.02,optimal,6.271248264036952,0.019999999999030627,0.02000000000184854,0.0,0.05116841257050766,0.665719696969697,0.7223915946483912
0.2,0.02,optimal,8.686750174556016,0.02000000007399405,0.01999999990403678,0.0,0.0443190975020145,0.6581439393939394,0.7187453882507928
0.1,0.02,optimal,12.306157353050786,0.0199999999514211,0.019999999833064108,0.0,0.0273972602739726,0.6600378787878788,0.7115969520162116
0.05,0.02,optimal,16.584528988397597,0.01999999990041912,0.01999999953149212,0.0,0.022562449637389202,0.6534090909090909,0.7056723165468662
2.0,0.05,optimal,1.9199857914656704,0.04999999992844134,0.050000011229727304,0.0,0.06688154713940371,0.678030303030303,0.731616892769857
1.5,0.05,optimal,1.9254806064095482,0.04999999993787013,0.05000001745157112,0.0,0.07050765511684126,0.6732954545454546,0.7321460066301206
1.0,0.05,optimal,1.9867587557872781,0.04999999979597125,0.05000001139561028,0.0,0.06325543916196616,0.6714015151515151,0.7312245566421787
0.75,0.05,optimal,2.093957183061832,0.049999999853233335,0.050000006138369524,0.0,0.06365834004834811,0.6723484848484849,0.7309186064508699
0.5,0.05,optimal,2.405295306372592,0.04999999975601299,0.05000000101103996,0.0,0.062046736502820304,0.6761363636363636,0.729302469557956
0.35,0.05,optimal,2.928899574524991,0.05000000006741173,0.049999999930620986,0.0,0.055600322320709106,0.678030303030303,0.728614981481015
0.2,0.05,optimal,4.3394850431893435,0.0499999999520207,0.050000000850282666,0.0,0.048348106365834004,0.678030303030303,0.7241265122038132
0.1,0.05,optimal,7.077852616640229,0.04999999989824461,0.049999999778144066,0.0,0.030620467365028204,0.6638257575757576,0.7181082919700672
0.05,0.05,optimal_inaccurate,11.466078799911061,0.04706604432404471,0.049999998660305134,0.0,0.01893634165995165,0.6553030303030303,0.7131554982848792
2.0,0.1,optimal,0.3830683039828561,0.0913825266767776,0.1000000016567032,0.0,0.052377115229653506,0.6666666666666666,0.7281290605889361
1.5,0.1,optimal,0.3830674241039966,0.09138254852677252,0.10000000196724257,0.0,0.052377115229653506,0.6666666666666666,0.7281290605889362
1.0,0.1,optimal,0.38430053812672405,0.0913172497526214,0.1000000021217885,0.0,0.052377115229653506,0.6666666666666666,0.7281542564870439
0.75,0.1,optimal,0.3900483099119857,0.0912849577705458,0.10000000327837466,0.0,0.0515713134568896,0.6676136363636364,0.7285897855829071
0.5,0.1,optimal,0.4259254401476645,0.09110218252087593,0.10000000396497433,0.0,0.04754230459307011,0.6732954545454546,0.7283954172260756
0.35,0.1,optimal,0.5200664947179201,0.09052870669363,0.10000000585770907,0.0,0.043916196615632556,0.6761363636363636,0.7292808730738637
0.2,0.1,optimal,1.0729085240273322,0.08622359795352985,0.09999999953277094,0.0,0.043916196615632556,0.6770833333333334,0.7280930664487821
0.1,0.1,optimal,3.4887313114018292,0.0707964789697369,0.1000000000163298,0.0,0.031829170024174055,0.6619318181818182,0.7261637805365286
0.05,0.1,user_limit,,,,,,,
2.0,0.15,optimal,0.0,0.09151067893238723,0.1491430200029159,0.0,0.043916196615632556,0.6808712121212122,0.728159655608067
1.5,0.15,optimal,0.0,0.09151067893238723,0.1491430200029159,0.0,0.043916196615632556,0.6808712121212122,0.728159655608067
1.0,0.15,optimal,0.0,0.09151067893238723,0.1491430200029159,0.0,0.043916196615632556,0.6808712121212122,0.728159655608067
0.75,0.15,optimal,5.914893611968992e-07,0.09151247373148463,0.1491413819784384,0.0,0.043916196615632556,0.6808712121212122,0.7281452579520054
0.5,0.15,optimal,0.0020016319329083693,0.09147869401370151,0.14928099182497623,0.0,0.043916196615632556,0.6808712121212122,0.7276179437987496
0.35,0.15,optimal,0.019631054089677726,0.09130256276807552,0.14955672751304938,0.0,0.0427074939564867,0.6818181818181818,0.7273731836457025
0.2,0.15,optimal,0.38808197039364034,0.08807929727327474,0.14714904841909482,0.0,0.0362610797743755,0.6770833333333334,0.7275459555184416
0.1,0.15,user_limit,,,,,,,
0.05,0.15,infeasible,,,,,,,
2.0,0.2,optimal,0.0,0.09151067893238723,0.1491430200029159,0.0,0.043916196615632556,0.6808712121212122,0.728159655608067
1.5,0.2,optimal,0.0,0.09151067893238723,0.1491430200029159,0.0,0.043916196615632556,0.6808712121212122,0.728159655608067
